	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM2035926	0	0.0840224953683703	0.0281921884873613	0	0	0.0676874864447558	0	0	0.0390298816298349	0.0113287224172511	0	0.0332832615077774	0.0702290718635413	0	0.00095757591838104	0.431334335057789	0.0112086493013392	0.028654493502032	0.189770499046383	0	0	0.00430133945518331	0.003	0.239557424239003	0.987169512643909
GSM2035927	0	0.0587230314852685	0.00617940709684464	0.0088685195398786	0	0.126381018217759	0	0	0.0164532206446136	0	0	0.033340587127468	0.0529911652296607	0	0.0295212247178505	0.455829067472877	0.050032220828541	0	0.117753037685131	0	0	0.0439274999541077	0	0.281757945597915	0.969884443215948
GSM545670	0	0.00113592649144613	0.279323143729782	0.128606710522807	0.00286939347435455	0	0	0	0	0.075206558742583	0	0.0453395972409277	0	0	0.0353857255461967	0.326866574386167	0.00161590887749318	0	0.0830551662109128	0	0	0.0205952947773299	0	0.469875262465943	0.882922277622049
GSM545672	0	0.198405090303963	0.0246491580818045	0.0689631013078643	0	0.066444476512892	0	0.0240188552127158	0	0	0	0.0492726057515319	0.0867424780926461	0.0694429267276931	0.047647587672209	0.193782368266342	0	0	0.170631352070338	0	0	0	0.19	0.0978023773935594	1.03778275043655
GSM545675	0	0.136509226463038	0.0835860921042099	0	0.055060436812064	0.0604112871920201	0	0	0.0789999802442669	0.101768033555633	0	0.0334759301008994	0.0573694767330982	0.0228975275798271	0	0.161463275652976	0	0	0.171235097509286	0	0	0.0372236360526826	0.342	0.0708407901788119	1.05082694440371
GSM545676	0	0.0138529250610948	0.0989491998863335	0.0397670181737013	0	0.152696813771399	0.0167251884699248	0	0	0.0949530019771718	0	0.0408580758493612	0.0803424679719159	0	0.10094616550814	0.203804887344864	0	0.00821011569331089	0.144348823401854	0	0	0.00454531689092926	0.001	0.25832517511689	0.975768367408528
GSM545679	0.054444373980802	0	0.0133131593069891	0	0	0.150279175061146	0	0.00620643547230655	0.00393169524661148	0.0770836777956944	0.0134720896691376	0.0170273360450519	0.0218232679210767	0	0.0175108176654135	0.371927796329957	0.0379932030035706	0.00376223757665991	0.0856060953227733	0	0	0.125618639602811	0.012	0.207530251740598	1.00004864017124
GSM545680	0.0373460517577684	0	0.0460060527403441	0.10419277425046	0	0	0.0338151214898764	0	0	0.0953012691420799	0	0.0523058322359406	0.0323588115547325	0.0923744476545269	0.052455537385226	0.237077658521105	0.0825488174909246	0	0.112271689391194	0	0	0.0219459363858205	0	0.349104556060313	0.937514611913233
GSM545687	0	0.0298444892524196	0.0518525099514506	0.00987025884224454	0	0.155335302414108	0.00787264734403805	0	0.0261007318549782	0	0	0.0721085472964999	0.0580915866893315	0	0.0242872653039675	0.27528147206161	0.03209353205679	0.0227040333972963	0.207801740797278	0	0	0.0267558827379883	0.00900000000000001	0.215024452568225	0.990626825450163
GSM545691	0	0.104824003037592	0.0675497192199575	0	0	0.181742160630339	0.0147859493645319	0	0	0.0170159147765809	0.0173233077737511	0	0.0328100182270315	0	0.0248305717262542	0.353896485770026	0.0474764868917362	0	0.131332038141981	0	0.00186643514310746	0.0045469092971118	0	0.290099552194968	0.962004530679879
GSM545694	0.0776801485300768	0.0221995881352288	0	0	0	0.234801366340401	0	0.0398031146739783	0.0460390655633363	0	0.00511817601585428	0.0122583668542096	0.0719430627800183	0	0.0265643912372081	0.290314951122854	0	0.00191257591804141	0.109944830573867	0	0	0.0614203622549263	0.098	0.13150483645146	1.02589869441527
GSM2035928	0	0.0291530906991782	0.0207006981916501	0.106428788715095	0	0.0168302762472842	0	0.043276941814594	0	0.111808794573439	0	0.0188426619706385	0.0096735436907318	0	0.147064350431822	0.316272742223554	0.0217652840948027	0	0.150592544919654	0	0	0.00759028242755608	0	0.270231409919077	0.975896248301489
GSM2035929	0	0.0712707212798897	0.0805523661339829	0	0	0.0632053572053038	0	0	0.0873704481554807	0	0	0.0959543948917743	0.0800596310390151	0	0.0131012213735269	0.340541481760898	0	0.0319768727966894	0.105011744025721	0	0	0.0309557613377183	0.182	0.0999072281113614	1.03906674637693
GSM2035930	0	0.0990425749684625	0.0703786706721308	0.0391766771422378	0	0.0376574398729932	0.00686258501334663	0.0276786750231155	0	0.0185433332404619	0.0401174089996538	0.0440675535584521	0.140707419635742	0.0263025863138439	0.0269447243002064	0.352115294454061	0.00361376769666028	0	0.0506310091520048	0	0.0161602799566266	0	0.015	0.204020806541766	1.00027757920353
GSM2035931	0	0.0212598343312428	0.0505210859046173	0	0.0214394039192615	0.221536821806505	0	0	0	0.0251668988762815	0.0538523645227714	0	0.0412060409700999	0	0	0.221512920206948	0.00301937831575056	0.0480577112297735	0.186559664913978	0	0	0.10586787500277	0.038	0.169486081966187	1.0087316628525
