ID	group	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM545670	IHF	0	0.001135926	0.279323144	0.128606711	0.002869393	0	0	0	0	0.075206559	0	0.045339597	0	0	0.035385726	0.326866574	0.001615909	0	0.083055166	0	0	0.020595295	0	0.469875262	0.882922278
GSM545672	IHF	0	0.19840509	0.024649158	0.068963101	0	0.066444477	0	0.024018855	0	0	0	0.049272606	0.086742478	0.069442927	0.047647588	0.193782368	0	0	0.170631352	0	0	0	0.19	0.097802377	1.03778275
GSM545675	IHF	0	0.136509226	0.083586092	0	0.055060437	0.060411287	0	0	0.07899998	0.101768034	0	0.03347593	0.057369477	0.022897528	0	0.161463276	0	0	0.171235098	0	0	0.037223636	0.342	0.07084079	1.050826944
GSM545676	IHF	0	0.013852925	0.0989492	0.039767018	0	0.152696814	0.016725188	0	0	0.094953002	0	0.040858076	0.080342468	0	0.100946166	0.203804887	0	0.008210116	0.144348823	0	0	0.004545317	0.001	0.258325175	0.975768367
GSM545679	IHF	0.054444374	0	0.013313159	0	0	0.150279175	0	0.006206435	0.003931695	0.077083678	0.01347209	0.017027336	0.021823268	0	0.017510818	0.371927796	0.037993203	0.003762238	0.085606095	0	0	0.12561864	0.012	0.207530252	1.00004864
GSM545680	IHF	0.037346052	0	0.046006053	0.104192774	0	0	0.033815121	0	0	0.095301269	0	0.052305832	0.032358812	0.092374448	0.052455537	0.237077659	0.082548817	0	0.112271689	0	0	0.021945936	0	0.349104556	0.937514612
GSM545687	IHF	0	0.029844489	0.05185251	0.009870259	0	0.155335302	0.007872647	0	0.026100732	0	0	0.072108547	0.058091587	0	0.024287265	0.275281472	0.032093532	0.022704033	0.207801741	0	0	0.026755883	0.009	0.215024453	0.990626825
GSM545691	IHF	0	0.104824003	0.067549719	0	0	0.181742161	0.014785949	0	0	0.017015915	0.017323308	0	0.032810018	0	0.024830572	0.353896486	0.047476487	0	0.131332038	0	0.001866435	0.004546909	0	0.290099552	0.962004531
GSM545694	IHF	0.077680149	0.022199588	0	0	0	0.234801366	0	0.039803115	0.046039066	0	0.005118176	0.012258367	0.071943063	0	0.026564391	0.290314951	0	0.001912576	0.109944831	0	0	0.061420362	0.098	0.131504836	1.025898694
GSM2035928	IHF	0	0.029153091	0.020700698	0.106428789	0	0.016830276	0	0.043276942	0	0.111808795	0	0.018842662	0.009673544	0	0.14706435	0.316272742	0.021765284	0	0.150592545	0	0	0.007590282	0	0.27023141	0.975896248
GSM2035929	IHF	0	0.071270721	0.080552366	0	0	0.063205357	0	0	0.087370448	0	0	0.095954395	0.080059631	0	0.013101221	0.340541482	0	0.031976873	0.105011744	0	0	0.030955761	0.182	0.099907228	1.039066746
GSM2035930	IHF	0	0.099042575	0.070378671	0.039176677	0	0.03765744	0.006862585	0.027678675	0	0.018543333	0.040117409	0.044067554	0.14070742	0.026302586	0.026944724	0.352115294	0.003613768	0	0.050631009	0	0.01616028	0	0.015	0.204020807	1.000277579
GSM2035931	IHF	0	0.021259834	0.050521086	0	0.021439404	0.221536822	0	0	0	0.025166899	0.053852365	0	0.041206041	0	0	0.22151292	0.003019378	0.048057711	0.186559665	0	0	0.105867875	0.038	0.169486082	1.008731663
